Order,individualCount,,
Araneae,2,,
Ixodida,4,,
Coleoptera,1,,
Lepidoptera,1,,
Lepidoptera,1,,
Ixodida,20,,
Araneae,1,,
Araneae,1,,
Araneae,1,,
Hemiptera,1,,
Araneae,1,,
Ixodida,1,,
Hymenoptera,1,,
Hymenoptera,1,,
Araneae,1,,
Araneae,1,,
Ixodida,1,,
Ixodida,4,,
Hymenoptera,1,,
Araneae,1,,
Thysanoptera,1,,
Diptera,1,,
Araneae,2,,
Ixodida,3,,
Araneae,1,,
Homoptera,2,,
Hemiptera,1,,
Ixodida,11,,
Araneae,1,,
Ixodida,13,,
Homoptera,1,,
Lepidoptera,2,,
Ixodida,19,,
Araneae,1,,
Ixodida,48,,
Hemiptera,1,,
Hemiptera,1,,
Ixodida,25,,
Diptera,1,,
Hemiptera,1,,
Homoptera,4,,
Araneae,1,,
Araneae,2,,
Diptera,1,,
Hemiptera,1,,
Araneae,3,,
Ixodida,5,,
Hemiptera,1,,
Diptera,1,,
Coleoptera,1,,
Diptera,2,,
Ixodida,2,,
Araneae,1,,
Diptera,3,,
Diptera,1,,
Ixodida,2,,
Araneae,1,,
Ixodida,2,,
Diptera,1,,
Araneae,2,,
Hemiptera,1,,
Hemiptera,1,,
Araneae,1,,
Diptera,2,,
Diptera,4,,
Diptera,1,,
Homoptera,3,,
Araneae,1,,
Araneae,1,,
Hymenoptera,1,,
Ixodida,1,,
Homoptera,2,,
Araneae,2,,
Araneae,1,,
Araneae,1,,
Diptera,3,,
Hymenoptera,1,,
Ixodida,2,,
Diptera,2,,
Diptera,1,,
Homoptera,2,,
Araneae,1,,
Araneae,1,,
Homoptera,1,,
Ixodida,2,,
Araneae,2,,
Lepidoptera,1,,
Homoptera,3,,
Araneae,1,,
Homoptera,1,,
Poduromorpha,1,,
Coleoptera,1,,
Ixodida,1,,
