Commonname,individualCount,,
Square spot rustic ,12,,
Green carpet moth,3,,
Heath rustic ,1,,
Chestnut moth,1,,
Pink barred sallow moth,1,,
Small wainscot,1,,
Leaf curling sac spiders,1,,
Common marbled carpet,1,,
Dark winged fungus gnats ,1,,
Cinnamon sedge caddisfly,1,,
Crane fly ,2,,
Crane fly,10,,
European crane fly,1,,
Marsh crane fly ,1,,
Small wainscot,2,,
European crane fly,2,,
Neglected rustic,1,,
Caddis fly,2,,
Common marbled carpet,1,,
Sheep tick ,1,,
White legged snake millipede,1,,
Caddis fly,1,,
Mottled rustic,1,,
Mosquito,4,,
Crane fly ,1,,
